Month,City,Temperature,Rainfall
Jan,Lviv,-4,200
Feb,Lviv,-3,250
Mar,Lviv,0,264
Apr,Lviv,12,230
May,Lviv,16,215
Jun,Lviv,22,345
Jul,Lviv,27,241
Aug,Lviv,24,184
Sep,Lviv,,218
Oct,Lviv,11,213
Nov,Lviv,6,648
Dec,Lviv,0,214
Jan,Kyiv,-9,612
Feb,Kyiv,,423
Mar,Kyiv,-2,147
Apr,Kyiv,5,217
May,Kyiv,15,48
Jun,Kyiv,,562
Jul,Kyiv,31,178
Aug,Kyiv,30,516
Sep,Kyiv,20,245
Oct,Kyiv,16,456
Nov,Kyiv,6,215
Dec,Kyiv,1,345
Jan,London,-5,462
Feb,London,-1,125
Mar,London,4,214
Apr,London,12,321
May,London,16,564
Jun,London,19,213
Jul,London,21,214
Aug,London,24,344
Sep,London,15,654
Oct,London,14,321
Nov,London,9,384
Dec,London,4,300
